Ensembl ID;genes;Phase
ENSG00000173193;PARP14;G2M
ENSG00000138496;PARP9;G2M
ENSG00000138964;PARVG;S+G2M
ENSG00000123360;PDE1B;G2M
ENSG00000184588;PDE4B;S+G2M
ENSG00000197461;PDGFA;G2M
ENSG00000133401;PDZD2;G2M
ENSG00000124299;PEPD;G2M
ENSG00000109272;PF4V1;G1
ENSG00000113068;PFDN1;G2M
ENSG00000108518;PFN1;G2M
ENSG00000176732;PFN4;S
ENSG00000256713;PGA5;G2M
ENSG00000148985;PGAP2;G2M
ENSG00000182405;PGBD4;G2M
ENSG00000112419;PHACTR2;G2M
ENSG00000019144;PHLDB1;G2M
ENSG00000140451;PIF1;G2M
ENSG00000173947;PIFO;G2M
ENSG00000151665;PIGF;G1
ENSG00000110697;PITPNM1;S+G2M
ENSG00000144837;PLA1A;S
ENSG00000100078;PLA2G3;G2M
ENSG00000149782;PLCB3;G2M
ENSG00000138193;PLCE1;G2M
ENSG00000148735;PLEKHS1;G2M
ENSG00000105355;PLIN3;G2M
ENSG00000166851;PLK1;G2M
ENSG00000188313;PLSCR1;G1
ENSG00000114554;PLXNA1;G2M
ENSG00000203837;PNLIPRP3;G2M
ENSG00000141744;PNMT;G2M
ENSG00000114631;PODXL2;S
ENSG00000101868;POLA1;S
ENSG00000100479;POLE2;S
ENSG00000166169;POLL;S
ENSG00000099817;POLR2E;G2M
ENSG00000115138;POMC;G2M
ENSG00000185900;POMK;G2M
ENSG00000005421;PON1;G2M
ENSG00000121577;POPDC2;G2M
ENSG00000143190;POU2F1;S+G2M
ENSG00000177380;PPFIA3;G2M
ENSG00000110841;PPFIBP1;G2M
ENSG00000171960;PPIH;G2M
ENSG00000213639;PPP1CB;G2M
ENSG00000167641;PPP1R14A;G2M
ENSG00000162148;PPP1R32;G2M
ENSG00000049769;PPP1R3F;G2M
ENSG00000113575;PPP2CA;S+G2M
ENSG00000198901;PRC1;G2M
ENSG00000130711;PRDM12;G2M
ENSG00000108946;PRKAR1A;S+G2M
ENSG00000166501;PRKCB;G2M
ENSG00000105287;PRKD2;G2M
ENSG00000185532;PRKG1;G2M
ENSG00000148426;PROSER2;G2M
ENSG00000116132;PRRX1;G1
ENSG00000206549;PRSS50;G2M
ENSG00000052344;PRSS8;G2M
ENSG00000159792;PSKH1;G2M
ENSG00000100567;PSMA3;G2M
ENSG00000136930;PSMB7;G2M
ENSG00000168229;PTGDR;G1
ENSG00000108825;PTGES3L-AARSD1;S+G2M
ENSG00000106853;PTGR1;G2M
ENSG00000187514;PTMA;G2M
ENSG00000104960;PTOV1;G2M
ENSG00000179295;PTPN11;G2M
ENSG00000163629;PTPN13;G1
ENSG00000100362;PVALB;G2M
ENSG00000103769;RAB11A;S
ENSG00000157869;RAB28;G2M
ENSG00000105649;RAB3A;G2M
ENSG00000152061;RABGAP1L;G2M
ENSG00000161800;RACGAP1;G2M
ENSG00000152942;RAD17;G1
ENSG00000179262;RAD23A;G2M
ENSG00000131477;RAMP2;S
ENSG00000164188;RANBP3L;G2M
ENSG00000010017;RANBP9;G1
ENSG00000138670;RASGEF1B;G1
ENSG00000102054;RBBP7;G1
ENSG00000130701;RBBP8NL;G2M
ENSG00000185272;RBM11;G1
ENSG00000163694;RBM47;G1
ENSG00000100918;REC8;G1
ENSG00000132563;REEP2;G2M
ENSG00000168476;REEP4;G2M
ENSG00000143954;REG3G;S
ENSG00000104856;RELB;G1
ENSG00000054967;RELT;G2M
ENSG00000042445;RETSAT;G1
ENSG00000049541;RFC2;G2M
ENSG00000175449;RFESD;G1
ENSG00000237441;RGL2;G2M
ENSG00000169220;RGS14;G2M
ENSG00000171700;RGS19;G2M
ENSG00000177181;RIMKLA;G2M
ENSG00000137275;RIPK1;G2M
ENSG00000125352;RNF113A;G2M
ENSG00000082996;RNF13;G2M
ENSG00000170153;RNF150;G1
ENSG00000165188;RNF183;S
ENSG00000138942;RNF185;G2M
ENSG00000116514;RNF19B;G2M
ENSG00000092098;RNF31;S+G2M
ENSG00000205937;RNPS1;S+G2M
ENSG00000065371;ROPN1;G2M
ENSG00000143365;RORC;G1
ENSG00000132383;RPA1;S+G2M
ENSG00000101413;RPRD1B;G1
ENSG00000110700;RPS13;G2M
ENSG00000140988;RPS2;S
ENSG00000008988;RPS20;G2M
ENSG00000138326;RPS24;S
ENSG00000185088;RPS27L;S+G2M
ENSG00000162302;RPS6KA4;G2M
ENSG00000133818;RRAS2;G2M
ENSG00000167325;RRM1;S
ENSG00000171848;RRM2;S
ENSG00000143303;RRNAD1;G2M
ENSG00000171490;RSL1D1;G2M
ENSG00000132026;RTBDN;G2M
ENSG00000189334;S100A14;G2M
ENSG00000100583;SAMD15;G2M
ENSG00000244486;SCARF2;G2M
ENSG00000196876;SCN8A;G2M
ENSG00000140612;SEC11A;G1
ENSG00000157020;SEC13;G1
ENSG00000058262;SEC61A1;S+G2M
ENSG00000091490;SEL1L3;G2M
ENSG00000174175;SELP;G2M
ENSG00000112701;SENP6;S
ENSG00000162430;SEPN1;G2M
ENSG00000125354;Sep.06;G2M
ENSG00000167711;SERPINF2;G2M
ENSG00000197417;SHPK;G2M
ENSG00000146950;SHROOM2;G2M
ENSG00000185187;SIGIRR;G2M
ENSG00000187531;SIRT7;G1
ENSG00000145604;SKP2;G2M
ENSG00000101082;SLA2;G2M
ENSG00000163950;SLBP;S
ENSG00000081800;SLC13A1;G2M
ENSG00000141526;SLC16A3;S+G2M
ENSG00000110628;SLC22A18;G2M
ENSG00000125454;SLC25A19;G2M
ENSG00000013306;SLC25A39;S+G2M
ENSG00000075303;SLC25A40;G1
ENSG00000156222;SLC28A1;G2M
ENSG00000121073;SLC35B1;G1
ENSG00000017483;SLC38A5;G2M
ENSG00000158865;SLC5A11;G1
ENSG00000117834;SLC5A9;G1
ENSG00000108576;SLC6A4;G2M
ENSG00000003989;SLC7A2;G2M
ENSG00000103064;SLC7A6;G1
ENSG00000103061;SLC7A6OS;S+G2M
ENSG00000065054;SLC9A3R2;G2M
ENSG00000188827;SLX4;S+G2M
ENSG00000170365;SMAD1;S
ENSG00000127616;SMARCA4;G2M
ENSG00000066117;SMARCD1;S
ENSG00000166311;SMPD1;S+G2M
ENSG00000198742;SMURF1;G1
ENSG00000185420;SMYD3;G1
ENSG00000125835;SNRPB;G2M
ENSG00000112335;SNX3;G2M
ENSG00000185338;SOCS1;G2M
ENSG00000120896;SORBS3;G2M
ENSG00000189120;SP6;S+G2M
ENSG00000169682;SPNS1;G2M
ENSG00000144228;SPOPL;G1
ENSG00000100596;SPTLC2;G1
ENSG00000174780;SRP72;G2M
ENSG00000112081;SRSF3;G2M
ENSG00000008324;SS18L2;S+G2M
ENSG00000144057;ST6GAL2;G1
ENSG00000117069;ST6GALNAC5;G1
ENSG00000140557;ST8SIA2;G2M
ENSG00000185482;STAC3;G2M
ENSG00000166888;STAT6;G2M
ENSG00000204344;STK19;G2M
ENSG00000125834;STK35;G1
ENSG00000211455;STK38L;G1
ENSG00000104915;STX10;G2M
ENSG00000166900;STX3;G1
ENSG00000137573;SULF1;G2M
ENSG00000078269;SYNJ2;S+G2M
ENSG00000129990;SYT5;G2M
ENSG00000006128;TAC1;G2M
ENSG00000115353;TACR1;G2M
ENSG00000059588;TARBP1;G1
ENSG00000113407;TARS;S+G2M
ENSG00000171530;TBCA;G1
ENSG00000145348;TBCK;G2M
ENSG00000196507;TCEAL3;G2M
ENSG00000011007;TCEB3;G1
ENSG00000125878;TCF15;G2M
ENSG00000152284;TCF7L1;S
ENSG00000074219;TEAD2;G2M
ENSG00000163060;TEKT4;G2M
ENSG00000168769;TET2;G2M
ENSG00000151287;TEX30;G1
ENSG00000137203;TFAP2A;G2M
ENSG00000198176;TFDP1;S
ENSG00000114126;TFDP2;G1
ENSG00000041988;THAP3;G2M
ENSG00000176946;THAP4;G2M
ENSG00000161277;THAP8;G2M
ENSG00000178726;THBD;G1
ENSG00000105549;THEG;G2M
ENSG00000099800;TIMM13;G2M
ENSG00000196781;TLE1;G2M
ENSG00000166069;TMCO5A;S+G2M
ENSG00000099203;TMED1;G1
